date,daily_request_count,target_7day_avg
2023-09-18,8808,9437.714285714286
2023-09-19,10025,9449.142857142857
2023-09-20,9687,9427.42857142857
2023-09-21,9684,9445.57142857143
2023-09-22,9656,9117.0
2023-09-23,7007,8793.42857142857
2023-09-24,6687,8694.57142857143
2023-09-25,8116,8576.57142857143
2023-09-26,9199,8511.857142857143
2023-09-27,9234,8441.42857142857
2023-09-28,9191,9628.0
2023-09-29,17962,10119.714285714286
2023-09-30,10449,10524.42857142857
2023-10-01,9520,10592.285714285714
2023-10-02,8591,10372.57142857143
2023-10-03,7661,10015.142857142857
2023-10-04,6732,9531.142857142857
2023-10-05,5803,7661.428571428572
2023-10-06,4874,6732.285714285715
2023-10-07,3945,5803.0
2023-10-08,3015,4873.714285714285
2023-10-09,2086,3944.5714285714284
2023-10-10,1157,4356.714285714285
2023-10-11,9617,4873.142857142857
2023-10-12,9418,5571.142857142857
2023-10-13,9760,6063.285714285715
2023-10-14,7390,6821.428571428572
2023-10-15,8322,8075.285714285715
2023-10-16,10863,9427.57142857143
2023-10-17,10623,9489.285714285714
2023-10-18,10049,9553.142857142857
2023-10-19,9865,9361.42857142857
2023-10-20,8418,9415.0
2023-10-21,7765,9430.0
2023-10-22,8427,9434.285714285714
2023-10-23,10893,9360.714285714286
2023-10-24,10108,9282.857142857143
2023-10-25,9504,9262.714285714286
2023-10-26,9724,9501.857142857143
2023-10-27,10092,9686.714285714286
2023-10-28,9059,9601.857142857143
2023-10-29,7833,9444.285714285714
2023-10-30,9790,9617.857142857143
2023-10-31,11323,9821.57142857143
2023-11-01,10930,9937.857142857143
2023-11-02,10538,9945.42857142857
2023-11-03,10145,10044.57142857143
2023-11-04,9753,10262.714285714286
2023-11-05,9360,10145.285714285714
2023-11-06,8968,9752.714285714286
2023-11-07,8575,9360.285714285714
2023-11-08,8183,8967.714285714286
2023-11-09,7790,8845.42857142857
2023-11-10,9289,8581.857142857143
2023-11-11,7908,8501.714285714286
2023-11-12,8799,8746.714285714286
2023-11-13,10683,8915.857142857143
2023-11-14,9759,9117.714285714286
2023-11-15,9596,9326.42857142857
2023-11-16,9251,9312.857142857143
2023-11-17,9194,9314.142857142857
2023-11-18,7917,9170.714285714286
2023-11-19,7795,9109.142857142857
2023-11-20,10252,9066.857142857143
2023-11-21,9463,9004.285714285714
2023-11-22,9158,8574.57142857143
2023-11-23,6243,8327.57142857143
2023-11-24,7465,8347.57142857143
2023-11-25,8057,8350.142857142857
2023-11-26,7813,8363.714285714286
2023-11-27,10347,8637.857142857143
2023-11-28,11382,8972.714285714286
2023-11-29,11502,9557.57142857143
2023-11-30,10337,9860.714285714286
2023-12-01,9587,9972.285714285714
2023-12-02,8838,10011.57142857143
2023-12-03,8088,9581.714285714286
2023-12-04,7338,8896.857142857143
2023-12-05,6588,8087.714285714285
2023-12-06,5838,7338.0
2023-12-07,5089,6588.285714285715
2023-12-08,4339,6484.285714285715
2023-12-09,8110,6377.714285714285
2023-12-10,7342,6785.571428571428
2023-12-11,10193,7407.0
2023-12-12,10938,8045.571428571428
2023-12-13,10308,8707.0
2023-12-14,9719,9550.285714285714
2023-12-15,10242,9506.42857142857
2023-12-16,7803,9480.857142857143
2023-12-17,7163,9633.142857142857
2023-12-18,11259,9497.142857142857
2023-12-19,9986,9410.714285714286
2023-12-20,9703,9316.0
2023-12-21,9056,9163.142857142857
2023-12-22,9172,9070.285714285714
2023-12-23,7153,8964.285714285714
2023-12-24,6421,8155.285714285715
2023-12-25,5596,7852.571428571428
2023-12-26,7867,7556.285714285715
2023-12-27,7629,7429.142857142857
2023-12-28,8166,7282.571428571428
2023-12-29,8146,7260.714285714285
2023-12-30,7000,7299.0
2023-12-31,6689,7413.571428571428
2024-01-01,6398,7162.142857142857
2024-01-02,6107,6903.142857142857
2024-01-03,5816,6525.857142857143
2024-01-04,5525,6109.857142857143
2024-01-05,5234,5816.142857142857
2024-01-06,4944,5525.285714285715
2024-01-07,4653,5234.428571428572
2024-01-08,4362,4943.571428571428
2024-01-09,4071,4652.714285714285
2024-01-10,3780,5244.0
2024-01-11,9664,5767.714285714285
2024-01-12,8900,6131.0
2024-01-13,7487,6624.571428571428
2024-01-14,8108,7312.571428571428
2024-01-15,9178,8109.857142857143
2024-01-16,9652,9239.0
2024-01-17,11684,9651.857142857143
2024-01-18,12554,9717.857142857143
2024-01-19,9362,9817.714285714286
2024-01-20,8186,9909.142857142857
2024-01-21,8748,10087.857142857143
2024-01-22,10429,10095.57142857143
2024-01-23,9706,9725.285714285714
2024-01-24,9092,9304.0
2024-01-25,9605,9292.42857142857
2024-01-26,9281,9272.57142857143
2024-01-27,8047,9070.0
2024-01-28,7330,8984.857142857143
2024-01-29,9833,9017.42857142857
2024-01-30,9934,9067.142857142857
2024-01-31,9440,8827.857142857143
2024-02-01,7930,8419.285714285714
2024-02-02,6421,7971.285714285715
